TRANSPORTE,ENTREGA,INSTALACION,FECHA_VISITA,ANOMALIA,DEPOSITO,RESPONSABLE
3200456573,0404003251,0050140843,20230918,047,000000000300103584,001,@
3200456586,0404001154,0050010259,20230918,093,000000000300055358,001,@
3200456632,0404000365,0050141584,20230918,047,000000000300108949,001,@
3200456669,0404002953,0050140190,20230918,047,000000000300102588,002,@
3200456684,0404001629,0050065458,20230918,093,000000000300016674,001,@
3200456584,0404002065,0050093100,20230918,048,000000000300032379,002,@
3200456584,0404002065,0050093100,20230918,048,000000000300032388,002,@
3200456633,0404000325,0050139794,20230918,025,                  ,001,@
3200456638,0404002973,0050030653,20230918,046,000000000300009141,002,@
3200456638,0404002973,0050030653,20230918,047,000000000300009141,002,@
3200456665,0404000328,0050139803,20230918,041,                  ,001,@
3200456684,0404000222,0050144827,20230918,093,000000000300106819,001,@
3200456560,0404001141,0050146551,20230918,024,000000000300032269,001,@
3200456560,0404001141,0050146551,20230918,025,                  ,001,@
3200456584,0404003207,0050134385,20230918,021,                  ,001,@
3200456584,0404003207,0050134385,20230918,025,                  ,001,@
3200456633,0404000311,0050139695,20230918,025,                  ,001,@
